# DRO_SourceID DetLink DetSlot 1DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link 
0 0 0 1 3 np02-srv-003 0 0 0
1 1 0 1 3 np02-srv-003 0 0 1
2 2 0 1 3 np02-srv-003 0 0 2
3 3 0 1 3 np02-srv-003 0 0 3
4 4 0 1 3 np02-srv-003 0 0 4
5 5 0 1 3 np02-srv-003 0 0 5
6 6 0 1 3 np02-srv-003 0 0 6
7 7 0 1 3 np02-srv-003 0 0 7
8 8 0 1 3 np02-srv-003 0 0 8
9 9 0 1 3 np02-srv-003 0 0 9
10 10 0 1 3 np02-srv-003 0 0 10
11 11 0 1 3 np02-srv-003 0 0 11
12 12 0 1 3 np02-srv-003 0 0 12
13 13 0 1 3 np02-srv-003 0 0 13
14 14 0 1 3 np02-srv-003 0 0 14
15 15 0 1 3 np02-srv-003 0 0 15
16 16 0 1 3 np02-srv-003 0 0 16
17 17 0 1 3 np02-srv-003 0 0 17
18 18 0 1 3 np02-srv-003 0 0 18
19 19 0 1 3 np02-srv-003 0 0 19
20 20 0 1 3 np02-srv-003 0 0 20
21 21 0 1 3 np02-srv-003 0 0 21
22 22 0 1 3 np02-srv-003 0 0 22
23 23 0 1 3 np02-srv-003 0 0 23
24 24 0 1 3 np02-srv-003 1 0 0
25 25 0 1 3 np02-srv-003 1 0 1
26 26 0 1 3 np02-srv-003 1 0 2
27 27 0 1 3 np02-srv-003 1 0 3
28 28 0 1 3 np02-srv-003 1 0 4
29 29 0 1 3 np02-srv-003 1 0 5
30 30 0 1 3 np02-srv-003 1 0 6
31 31 0 1 3 np02-srv-003 1 0 7
32 32 0 1 3 np02-srv-003 1 0 8
33 33 0 1 3 np02-srv-003 1 0 9
34 34 0 1 3 np02-srv-003 1 0 10
35 35 0 1 3 np02-srv-003 1 0 11
36 36 0 1 3 np02-srv-003 1 0 12
37 37 0 1 3 np02-srv-003 1 0 13
38 38 0 1 3 np02-srv-003 1 0 14
39 39 0 1 3 np02-srv-003 1 0 15
40 40 0 1 3 np02-srv-003 1 0 16
41 41 0 1 3 np02-srv-003 1 0 17
42 42 0 1 3 np02-srv-003 1 0 18
43 43 0 1 3 np02-srv-003 1 0 19
44 44 0 1 3 np02-srv-003 1 0 20
45 45 0 1 3 np02-srv-003 1 0 21
46 46 0 1 3 np02-srv-003 1 0 22
47 47 0 1 3 np02-srv-003 1 0 23
